#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0051759	FBgn0051759	-	CG31759
FBgn0039858	FBgn0039858	Cyclin G	CycG
FBgn0034521	FBgn0034521	Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	Mgat1
FBgn0032492	FBgn0032492	Proteasome alpha6 subunit, Testis-specific	Prosalpha6T
FBgn0033273	FBgn0033273	Gasz	Gasz
FBgn0264695	FBgn0264695	Myosin heavy chain	Mhc
FBgn0021772	FBgn0021772	ms(3)P122	ms(3)P122
FBgn0040214	FBgn0040214	fs(?)BL54	fs(?)BL54
FBgn0003527	FBgn0003527	stand still	stil
FBgn0000351	FBgn0000351	cortex	cort
FBgn0004882	FBgn0004882	oo18 RNA-binding protein	orb
FBgn0004992	FBgn0004992	cloudy	cld
FBgn0016917	FBgn0016917	Signal-transducer and activator of transcription protein at 92E	Stat92E
FBgn0000766	FBgn0000766	female sterile (1) A1010	fs(1)A1010
FBgn0027499	FBgn0027499	windei	wde
FBgn0040213	FBgn0040213	fs(?)BP73	fs(?)BP73
FBgn0287630	FBgn0287630	doublefault	dbf
FBgn0002022	FBgn0002022	Catecholamines up	Catsup
FBgn0002828	FBgn0002828	male sterile (2) E7	ms(2)E7
FBgn0005388	FBgn0005388	female sterile (1) A457	fs(1)A457
FBgn0000814	FBgn0000814	female sterile (1) K254	fs(1)K254
FBgn0051864	FBgn0051864	Quetzalcoatl	Qtzl
FBgn0000988	FBgn0000988	maternal metaphase arrest	mama
FBgn0039561	FBgn0039561	mitoferrin	mfrn
FBgn0000939	FBgn0000939	female sterile (2) A9	fs(2)A9
FBgn0285964	FBgn0285964	-	ms(2)05704
FBgn0000813	FBgn0000813	female sterile (1) K163	fs(1)K163
FBgn0002807	FBgn0002807	male sterile (1) 20Ab	ms(1)20Ab
FBgn0283652	FBgn0283652	Ribonuclease P/MRP subunit p30	Rpp30
FBgn0011225	FBgn0011225	jaguar	jar
FBgn0020855	FBgn0020855	fs(2)C10	fs(2)C10
FBgn0025517	FBgn0025517	fs(3)82CDa	fs(3)82CDa
FBgn0010417	FBgn0010417	TBP-associated factor 6	Taf6
FBgn0000765	FBgn0000765	female sterile (1) A1001	fs(1)A1001
FBgn0013765	FBgn0013765	centrosomin	cnn
FBgn0000836	FBgn0000836	female sterile (1) M20	fs(1)M20
FBgn0000779	FBgn0000779	female sterile (1) A1459	fs(1)A1459
FBgn0004978	FBgn0004978	abnormal tarsi	ats
FBgn0034646	FBgn0034646	Rae1	Rae1
FBgn0028577	FBgn0028577	half pint	hfp
FBgn0263102	FBgn0263102	pipsqueak	psq
FBgn0263391	FBgn0263391	hu li tai shao	hts
FBgn0003426	FBgn0003426	slipshod	slip
FBgn0002806	FBgn0002806	male sterile (1) 20Aa	ms(1)20Aa
FBgn0260632	FBgn0260632	dorsal	dl
FBgn0004074	FBgn0004074	ovarian tumor at 37D-38A	ovt
FBgn0004849	FBgn0004849	Suppressor of variegation 2-1	Su(var)2-1
FBgn0033402	FBgn0033402	Myd88	Myd88
FBgn0003892	FBgn0003892	patched	ptc
FBgn0002685	FBgn0002685	minus bar	mb
FBgn0020238	FBgn0020238	14-3-3epsilon	14-3-3epsilon
FBgn0000608	FBgn0000608	enhancer of white-eosin	e(w[e])
FBgn0000910	FBgn0000910	female sterile (1) M120	fs(1)M120
FBgn0040215	FBgn0040215	fs(3)BQ16	fs(3)BQ16
FBgn0020546	FBgn0020546	long non-coding RNA:iab4	lncRNA:iab4
FBgn0025143	FBgn0025143	ms(3)A4	ms(3)A4
FBgn0000463	FBgn0000463	Delta	Delta
FBgn0000865	FBgn0000865	female sterile (1) M59	fs(1)M59
FBgn0026598	FBgn0026598	Adenomatous polyposis coli 2	Apc2
FBgn0000743	FBgn0000743	female sterile (1) A214	fs(1)A214
FBgn0002677	FBgn0002677	maternal effect syncytial blastoderm arrest E	mat(2)syn-E
FBgn0000808	FBgn0000808	gastrulation-defective	gd
FBgn0000890	FBgn0000890	female sterile (1) M88	fs(1)M88
FBgn0000755	FBgn0000755	female sterile (1) A436	fs(1)A436
FBgn0265351	FBgn0265351	neuronally altered carbohydrate	nac
FBgn0003742	FBgn0003742	transformer 2	tra2
FBgn0034841	FBgn0034841	atlas	atlas
FBgn0003968	FBgn0003968	varied outspread	vao
FBgn0002121	FBgn0002121	lethal (2) giant larvae	l(2)gl
FBgn0005053	FBgn0005053	female sterile (1) no eggs 6	fs(1)ne6
FBgn0000875	FBgn0000875	female sterile (1) M73	fs(1)M73
FBgn0001233	FBgn0001233	Heat shock protein 83	Hsp83
FBgn0033846	FBgn0033846	Myb-interacting protein 120	mip120
FBgn0000948	FBgn0000948	female sterile (2) A18	fs(2)A18
FBgn0025151	FBgn0025151	ms(2)A5	ms(2)A5
FBgn0002705	FBgn0002705	megaoculus	meg
FBgn0020798	FBgn0020798	nineless	nls
FBgn0067663	FBgn0067663	poached	poached
FBgn0011250	FBgn0011250	male sterile (3) 72D	ms(3)72D
FBgn0010300	FBgn0010300	brain tumor	brat
FBgn0035608	FBgn0035608	blanks	blanks
FBgn0000927	FBgn0000927	female sterile (1) Young arrest	fs(1)Ya
FBgn0000479	FBgn0000479	dunce	dnc
FBgn0000799	FBgn0000799	female sterile (1) defective eggs 10	fs(1)de10
FBgn0002885	FBgn0002885	mutagen-sensitive 111	mus111
FBgn0000158	FBgn0000158	bag of marbles	bam
FBgn0000209	FBgn0000209	Blackpatch	Bpt
FBgn0002031	FBgn0002031	Prohibitin 1	Phb1
FBgn0004664	FBgn0004664	male sterile (3) HO5A	ms(3)HO5A
FBgn0004811	FBgn0004811	female sterile (2) ltoPP43	fs(2)ltoPP43
FBgn0011211	FBgn0011211	bellwether	blw
FBgn0263988	FBgn0263988	Dynein intermediate chain at 61B	Dic61B
FBgn0011205	FBgn0011205	fumble	fbl
FBgn0020804	FBgn0020804	ms(3)A81	ms(3)A81
FBgn0027579	FBgn0027579	minotaur	mino
FBgn0001113	FBgn0001113	glide	glide
FBgn0040038	FBgn0040038	kelch like family member 10	klhl10
FBgn0045770	FBgn0045770	Sperm-Leucylaminopeptidase 3	S-Lap3
FBgn0000183	FBgn0000183	Bicaudal D	BicD
FBgn0003483	FBgn0003483	spindle E	spn-E
FBgn0000546	FBgn0000546	Ecdysone receptor	EcR
FBgn0000916	FBgn0000916	female sterile (1) no eggs 2	fs(1)ne2
FBgn0002653	FBgn0002653	maternal effect cellularisation defect B	mat(2)cell-B
FBgn0003905	FBgn0003905	tiny	ty
FBgn0000842	FBgn0000842	female sterile (1) M29	fs(1)M29
FBgn0036398	FBgn0036398	upSET	upSET
FBgn0010315	FBgn0010315	Cyclin D	CycD
FBgn0002659	FBgn0002659	female sterile (2) 51Fb	fs(2)51Fb
FBgn0028378	FBgn0028378	fs(1)3B	fs(1)3B
FBgn0264442	FBgn0264442	abrupt	ab
FBgn0063393	FBgn0063393	sine prole	sip
FBgn0061476	FBgn0061476	Zwilch	Zwilch
FBgn0001013	FBgn0001013	female sterile (3) A4	fs(3)A4
FBgn0035142	FBgn0035142	Homeodomain interacting protein kinase	Hipk
FBgn0011239	FBgn0011239	male sterile (2) 35Ci	ms(2)35Ci
FBgn0025181	FBgn0025181	fs(1)11-1505	fs(1)11-1505
FBgn0001086	FBgn0001086	fizzy	fzy
FBgn0005638	FBgn0005638	slow border cells	slbo
FBgn0002830	FBgn0002830	male sterile (2) E9	ms(2)E9
FBgn0002662	FBgn0002662	maternal effect cellularisation defect K	mat(2)cell-K
FBgn0000935	FBgn0000935	female sterile (2) A5	fs(2)A5
FBgn0015552	FBgn0015552	tegamino	teg
FBgn0040290	FBgn0040290	RecQ4 helicase	RecQ4
FBgn0004656	FBgn0004656	female sterile (1) homeotic	fs(1)h
FBgn0000887	FBgn0000887	female sterile (1) M85	fs(1)M85
FBgn0283451	FBgn0283451	broad	br
FBgn0000841	FBgn0000841	female sterile (1) M28	fs(1)M28
FBgn0052062	FBgn0052062	RNA-binding Fox protein 1	Rbfox1
FBgn0000853	FBgn0000853	female sterile (1) M43	fs(1)M43
FBgn0000815	FBgn0000815	female sterile (1) K524	fs(1)K524
FBgn0065114	FBgn0065114	male-female-sterile in region 6E	mfs(1)6E
FBgn0263396	FBgn0263396	squid	sqd
FBgn0044518	FBgn0044518	indirect flight muscle (2) RU486	ifm(2)RU486
FBgn0010226	FBgn0010226	Glutathione S transferase S1	GstS1
FBgn0002827	FBgn0002827	male sterile (2) E6	ms(2)E6
FBgn0010097	FBgn0010097	gamma-Tubulin at 37C	gammaTub37C
FBgn0021761	FBgn0021761	Nucleoporin 154kD	Nup154
FBgn0000845	FBgn0000845	female sterile (1) M32	fs(1)M32
FBgn0000941	FBgn0000941	female sterile (2) A11	fs(2)A11
FBgn0002681	FBgn0002681	maternal effect syncytial blastoderm arrest I	mat(2)syn-I
FBgn0003462	FBgn0003462	Superoxide dismutase 1	Sod1
FBgn0011760	FBgn0011760	cut up	ctp
FBgn0000194	FBgn0000194	bladderwing	bla
FBgn0003144	FBgn0003144	pratfall	pratf
FBgn0001010	FBgn0001010	female sterile (3) A1	fs(3)A1
FBgn0003731	FBgn0003731	Epidermal growth factor receptor	Egfr
FBgn0000768	FBgn0000768	female sterile (1) A1042	fs(1)A1042
FBgn0261385	FBgn0261385	scraps	scra
FBgn0028990	FBgn0028990	Serpin 27A	Spn27A
FBgn0003303	FBgn0003303	raven	rv
FBgn0020801	FBgn0020801	ms(3)D185	ms(3)D185
FBgn0000893	FBgn0000893	female sterile (1) M93	fs(1)M93
FBgn0000754	FBgn0000754	female sterile (1) A427	fs(1)A427
FBgn0002736	FBgn0002736	mago nashi	mago
FBgn0004875	FBgn0004875	encore	enc
FBgn0262656	FBgn0262656	Myc	Myc
FBgn0003545	FBgn0003545	subito	sub
FBgn0000729	FBgn0000729	female sterile (1) 5e	fs(1)5e
FBgn0000307	FBgn0000307	chiffon	chif
FBgn0000876	FBgn0000876	female sterile (1) M74	fs(1)M74
FBgn0267978	FBgn0267978	apterous	ap
FBgn0261988	FBgn0261988	G protein-coupled receptor kinase 2	Gprk2
FBgn0000878	FBgn0000878	female sterile (1) M76	fs(1)M76
FBgn0002825	FBgn0002825	male sterile (2) E4	ms(2)E4
FBgn0004650	FBgn0004650	female sterile (1) Nasrat	fs(1)N
FBgn0027500	FBgn0027500	spindle defective 2	spd-2
FBgn0260397	FBgn0260397	Suppressor of variegation 3-3	Su(var)3-3
FBgn0001026	FBgn0001026	female sterile (3) A17	fs(3)A17
FBgn0028637	FBgn0028637	indirect flight muscle (2) RU5	ifm(2)RU5
FBgn0002525	FBgn0002525	Lamin	Lam
FBgn0003449	FBgn0003449	sans fille	snf
FBgn0002832	FBgn0002832	male sterile (2) E11	ms(2)E11
FBgn0020248	FBgn0020248	stem cell tumor	stet
FBgn0000831	FBgn0000831	female sterile (1) M13	fs(1)M13
FBgn0003370	FBgn0003370	shifted genitals	sge
FBgn0003679	FBgn0003679	tenerchaetae	te
FBgn0002654	FBgn0002654	maternal effect cellularisation defect C	mat(2)cell-C
FBgn0261786	FBgn0261786	minus	mi
FBgn0000085	FBgn0000085	anomogenitals	ano
FBgn0003441	FBgn0003441	smoky	smk
FBgn0000320	FBgn0000320	eyes absent	eya
FBgn0085444	FBgn0085444	muscle wasted	mute
FBgn0002655	FBgn0002655	maternal effect cellularisation defect D	mat(2)cell-D
FBgn0013311	FBgn0013311	P element transposase	P\T
FBgn0003534	FBgn0003534	stocky	sto
FBgn0000936	FBgn0000936	female sterile (2) A6	fs(2)A6
FBgn0011249	FBgn0011249	double loops of the Y 1	dolly-1
FBgn0000899	FBgn0000899	female sterile (1) M108	fs(1)M108
FBgn0025511	FBgn0025511	fs(3)82EFe	fs(3)82EFe
FBgn0021774	FBgn0021774	ms(2)985	ms(2)985
FBgn0015600	FBgn0015600	toucan	toc
FBgn0002661	FBgn0002661	maternal effect cellularisation defect J	mat(2)cell-J
FBgn0261397	FBgn0261397	dilute class unconventional myosin	didum
FBgn0015754	FBgn0015754	Lissencephaly-1	Lis-1
FBgn0003038	FBgn0003038	patchytergum	pat
FBgn0004023	FBgn0004023	whirligig	wrl
FBgn0067866	FBgn0067866	Mod(Prat:bw)3-9	Mod(Prat:bw)3-9
FBgn0011203	FBgn0011203	bocce	boc
FBgn0259176	FBgn0259176	bunched	bun
FBgn0000621	FBgn0000621	enhancer of yellow 5	e(y)5
FBgn0002826	FBgn0002826	male sterile (2) E5	ms(2)E5
FBgn0063779	FBgn0063779	s(3)4B	s(3)4B
FBgn0011766	FBgn0011766	E2F transcription factor 1	E2f1
FBgn0027639	FBgn0027639	mei-T3	mei-T3
FBgn0002833	FBgn0002833	male sterile (2) E12	ms(2)E12
FBgn0002730	FBgn0002730	male female sterile 73A	mfs(3)73A
FBgn0040216	FBgn0040216	fs(3)BA32	fs(3)BA32
FBgn0025154	FBgn0025154	ms(2)A2	ms(2)A2
FBgn0001019	FBgn0001019	female sterile (3) A10	fs(3)A10
FBgn0002576	FBgn0002576	lozenge	lz
FBgn0265778	FBgn0265778	PDZ domain-containing guanine nucleotide exchange factor	PDZ-GEF
FBgn0021771	FBgn0021771	ms(3)P50	ms(3)P50
FBgn0038947	FBgn0038947	Secretion-associated Ras-related 1	Sar1
FBgn0250823	FBgn0250823	gilgamesh	gish
FBgn0000747	FBgn0000747	female sterile (1) A330	fs(1)A330
FBgn0020806	FBgn0020806	ms(2)C32	ms(2)C32
FBgn0001021	FBgn0001021	female sterile (3) A12	fs(3)A12
FBgn0053504	FBgn0053504	small nuclear RNA U7	snRNA:U7
FBgn0000762	FBgn0000762	female sterile (1) A508	fs(1)A508
FBgn0000662	FBgn0000662	female lethal d	fl(2)d
FBgn0000785	FBgn0000785	female sterile (1) A1578	fs(1)A1578
FBgn0024330	FBgn0024330	Mediator complex subunit 6	MED6
FBgn0000852	FBgn0000852	female sterile (1) M41	fs(1)M41
FBgn0034962	FBgn0034962	MAN1	MAN1
FBgn0052105	FBgn0052105	LIM homeobox transcription factor 1 alpha	Lmx1a
FBgn0000585	FBgn0000585	erratic	erratic
FBgn0001042	FBgn0001042	female sterile (3) HO5B	fs(3)HO5B
FBgn0000922	FBgn0000922	female sterile (1) no eggs 9	fs(1)ne9
FBgn0011210	FBgn0011210	shank	shk
FBgn0050169	FBgn0050169	BRCA2, DNA repair associated	Brca2
FBgn0038225	FBgn0038225	scotti	soti
FBgn0000289	FBgn0000289	combgap	cg
FBgn0024432	FBgn0024432	Dynein light chain 90F	Dlc90F
FBgn0002831	FBgn0002831	male sterile (2) E10	ms(2)E10
FBgn0002354	FBgn0002354	lethal (3) 87Df	l(3)87Df
FBgn0000308	FBgn0000308	chickadee	chic
FBgn0019662	FBgn0019662	quemao	qm
FBgn0001001	FBgn0001001	female sterile (2) TLM	fs(2)TLM
FBgn0003125	FBgn0003125	popeye	pop
FBgn0260959	FBgn0260959	Microcephalin	MCPH1
FBgn0004003	FBgn0004003	windbeutel	wbl
FBgn0003591	FBgn0003591	Suppressor of variegation 2-9	Su(var)2-9
FBgn0288857	FBgn0288857	Yippee	Ype
FBgn0025157	FBgn0025157	ms(2)A10	ms(2)A10
FBgn0013460	FBgn0013460	fs(3)302	fs(3)302
FBgn0001011	FBgn0001011	female sterile (3) A2	fs(3)A2
FBgn0000912	FBgn0000912	female sterile (1) M122	fs(1)M122
FBgn0002696	FBgn0002696	midgoid	mdg
FBgn0001022	FBgn0001022	female sterile (3) A13	fs(3)A13
FBgn0000863	FBgn0000863	female sterile (1) M57	fs(1)M57
FBgn0045035	FBgn0045035	telomere fusion	tefu
FBgn0069070	FBgn0069070	194-26	194-26
FBgn0015075	FBgn0015075	Dead-box-1	Ddx1
FBgn0000371	FBgn0000371	cribble	crib
FBgn0260400	FBgn0260400	embryonic lethal abnormal vision	elav
FBgn0020853	FBgn0020853	fs(3)A107	fs(3)A107
FBgn0000879	FBgn0000879	female sterile (1) M77	fs(1)M77
FBgn0000015	FBgn0000015	Abdominal B	Abd-B
FBgn0031399	FBgn0031399	missing oocyte	mio
FBgn0003017	FBgn0003017	outheld	ot
FBgn0024849	FBgn0024849	nanking	nkg
FBgn0013770	FBgn0013770	Cathepsin L1	CtsL1
FBgn0000753	FBgn0000753	female sterile (1) A426	fs(1)A426
FBgn0011202	FBgn0011202	diaphanous	dia
FBgn0283472	FBgn0283472	Ribosomal protein S6 kinase	S6k
FBgn0063485	FBgn0063485	Lasp	Lasp
FBgn0002664	FBgn0002664	maternal effect early arrest A	mat(2)ea-A
FBgn0002750	FBgn0002750	misstep	misp
FBgn0263930	FBgn0263930	division abnormally delayed	dally
FBgn0025148	FBgn0025148	ms(2)A8	ms(2)A8
FBgn0003401	FBgn0003401	shutdown	shu
FBgn0260634	FBgn0260634	eukaryotic translation initiation factor 4G2	eIF4G2
FBgn0000985	FBgn0000985	female sterile (2) K	fs(2)K
FBgn0004665	FBgn0004665	male sterile (3) HO5B	ms(3)HO5B
FBgn0033860	FBgn0033860	Sperm-Leucylaminopeptidase 5	S-Lap5
FBgn0260780	FBgn0260780	wispy	wisp
FBgn0000810	FBgn0000810	female sterile (1) K10	fs(1)K10
FBgn0025512	FBgn0025512	fs(3)82EFd	fs(3)82EFd
FBgn0000830	FBgn0000830	female sterile (1) M11	fs(1)M11
FBgn0045859	FBgn0045859	casanova	csn
FBgn0011231	FBgn0011231	seedless	sdl
FBgn0000745	FBgn0000745	female sterile (1) A273	fs(1)A273
FBgn0000736	FBgn0000736	female sterile (1) A59	fs(1)A59
FBgn0086908	FBgn0086908	eggless	egg
FBgn0002618	FBgn0002618	Minute (3) 80	M(3)80
FBgn0000844	FBgn0000844	female sterile (1) M31	fs(1)M31
FBgn0003413	FBgn0003413	side wings	siw
FBgn0000384	FBgn0000384	concertina	cta
FBgn0002431	FBgn0002431	hyperplastic discs	hyd
FBgn0036438	FBgn0036438	goddard	gdrd
FBgn0001025	FBgn0001025	female sterile (3) A16	fs(3)A16
FBgn0000975	FBgn0000975	female sterile (2) HO100	fs(2)HO100
FBgn0287720	FBgn0287720	Pendulin	Pen
FBgn0014342	FBgn0014342	meiosis I arrest	mia
FBgn0086695	FBgn0086695	humpty dumpty	hd
FBgn0037262	FBgn0037262	Mediator complex subunit 31	MED31
FBgn0011596	FBgn0011596	fuzzy onions	fzo
FBgn0034939	FBgn0034939	thoc5	thoc5
FBgn0000008	FBgn0000008	arc	a
FBgn0015217	FBgn0015217	Enhancer of variegation 53E	E(var)53E
FBgn0000761	FBgn0000761	female sterile (1) A476	fs(1)A476
FBgn0000767	FBgn0000767	female sterile (1) A1024	fs(1)A1024
FBgn0267337	FBgn0267337	rotund	rn
FBgn0002669	FBgn0002669	maternal effect early arrest F	mat(2)ea-F
FBgn0000870	FBgn0000870	female sterile (1) M65	fs(1)M65
FBgn0021796	FBgn0021796	mechanistic Target of rapamycin	mTor
FBgn0261004	FBgn0261004	asterless	asl
FBgn0001101	FBgn0001101	genitalless	ge
FBgn0011252	FBgn0011252	ms(3)04202	ms(3)04202
FBgn0000756	FBgn0000756	female sterile (1) A456	fs(1)A456
FBgn0069242	FBgn0069242	eclair	eca
FBgn0003215	FBgn0003215	reddish brown	rdb
FBgn0033378	FBgn0033378	tsunagi	tsu
FBgn0052103	FBgn0052103	Short Calcium-binding Mitochondrial Carrier	SCaMC
FBgn0000889	FBgn0000889	female sterile (1) M87	fs(1)M87
FBgn0020802	FBgn0020802	ms(3)D120	ms(3)D120
FBgn0085447	FBgn0085447	still life	sif
FBgn0086915	FBgn0086915	Male-specific transcript 77F	Mst77F
FBgn0053052	FBgn0053052	Golgin, RAB6 interacting	Gorab
FBgn0010329	FBgn0010329	Tyramine beta hydroxylase	Tbh
FBgn0265512	FBgn0265512	mulet	mlt
FBgn0000495	FBgn0000495	dregs	drg
FBgn0000957	FBgn0000957	female sterile (2) E4	fs(2)E4
FBgn0040217	FBgn0040217	fs(2)LJ25	fs(2)LJ25
FBgn0260779	FBgn0260779	Glutamyl-tRNA amidotransferase, subunit A	GatA
FBgn0000778	FBgn0000778	female sterile (1) A1371	fs(1)A1371
FBgn0003655	FBgn0003655	swallow	swa
FBgn0000771	FBgn0000771	female sterile (1) A1140	fs(1)A1140
FBgn0000022	FBgn0000022	achaete	ac
FBgn0003026	FBgn0003026	ovioculus	ovi
FBgn0000944	FBgn0000944	female sterile (2) A14	fs(2)A14
FBgn0003741	FBgn0003741	transformer	tra
FBgn0003243	FBgn0003243	refringent	rfr
FBgn0000812	FBgn0000812	female sterile (1) K93	fs(1)K93
FBgn0003884	FBgn0003884	alpha-Tubulin at 84B	alphaTub84B
FBgn0000746	FBgn0000746	female sterile (1) A321	fs(1)A321
FBgn0003730	FBgn0003730	tonochaetae	ton
FBgn0011248	FBgn0011248	male sterile (3) 85D	ms(3)85D
FBgn0000880	FBgn0000880	female sterile (1) M78	fs(1)M78
FBgn0005006	FBgn0005006	deformed eye	dfi
FBgn0000933	FBgn0000933	female sterile (2) A3	fs(2)A3
FBgn0286813	FBgn0286813	SR Protein Kinase	SRPK
FBgn0261239	FBgn0261239	Hormone receptor-like in 39	Hr39
FBgn0027054	FBgn0027054	COP9 signalosome subunit 4	CSN4
FBgn0024689	FBgn0024689	four way stop	fws
FBgn0037810	FBgn0037810	slender lobes	sle
FBgn0004198	FBgn0004198	cut	ct
FBgn0014951	FBgn0014951	bow-legged	bwl
FBgn0000365	FBgn0000365	canopy wing	cpw
FBgn0288686	FBgn0288686	beta-Tubulin at 60D	betaTub60D
FBgn0002803	FBgn0002803	male sterile (1) 19Fb	ms(1)19Fb
FBgn0000543	FBgn0000543	ecdysoneless	ecd
FBgn0020792	FBgn0020792	palla	palla
FBgn0000973	FBgn0000973	female sterile (2) HO8	fs(2)HO8
FBgn0003035	FBgn0003035	paralog	par
FBgn0001941	FBgn0001941	infertile crescent	ifc
FBgn0264270	FBgn0264270	Sex lethal	Sxl
FBgn0003205	FBgn0003205	Ras oncogene at 85D	Ras85D
FBgn0069118	FBgn0069118	mutagen-sensitive 212	mus212
FBgn0015682	FBgn0015682	elav::Dvir\elav	elav::Dvir\elav
FBgn0000337	FBgn0000337	cinnabar	cn
FBgn0029161	FBgn0029161	slowmo	slmo
FBgn0027053	FBgn0027053	COP9 signalosome subunit 5	CSN5
FBgn0000869	FBgn0000869	female sterile (1) M64	fs(1)M64
FBgn0002673	FBgn0002673	twine	twe
FBgn0000179	FBgn0000179	bifid	bi
FBgn0002823	FBgn0002823	male sterile (2) 38C	ms(2)38C
FBgn0003596	FBgn0003596	Suppressor of variegation 3-5	Su(var)3-5
FBgn0024692	FBgn0024692	fs(1)ne11	fs(1)ne11
FBgn0011230	FBgn0011230	purity of essence	poe
FBgn0086370	FBgn0086370	sarah	sra
FBgn0086916	FBgn0086916	sneaky	snky
FBgn0002656	FBgn0002656	maternal effect cellularisation defect E	mat(2)cell-E
FBgn0002781	FBgn0002781	modifier of mdg4	mod(mdg4)
FBgn0046687	FBgn0046687	Trapped in endoderm 1	Tre1
FBgn0004870	FBgn0004870	bric a brac 1	bab1
FBgn0015778	FBgn0015778	rasputin	rin
FBgn0000770	FBgn0000770	female sterile (1) A1074	fs(1)A1074
FBgn0039213	FBgn0039213	atlastin	atl
